,Material,STPO_Cut_Off,Key,Kolkata_STPO,GUWAHATI_STPO,Ranchi_STPO,Patna_STPO,Cuttack_STPO,Delhi_STPO,Ghaziabad_STPO,Chandigarh_STPO,LUCKNOW_STPO,Jalandhar_STPO,Jaipur_STPO,Chennai_STPO,Coimbatore_STPO,Madurai_STPO,Bangalore_STPO,SECUNDERABAD_STPO,Vijayawada_STPO,Cochin_STPO,Bhiwandi_STPO,AHMEDABAD_STPO,Pune_STPO,Indore_STPO,Nagpur_STPO,RAIPUR_STPO,GW07_STPO
408,S-90002523,M_15th,S-90002523_M_15th,,,,,,,,,,,,,,,,,,1.0,,,,,,,
409,S-90002572,M_15th,S-90002572_M_15th,,,,,,,,,,,,,,,,10.0,,,,,,,,,
410,S-90002573,M_15th,S-90002573_M_15th,,,,,,,,,,,,,10.0,,,,,,,,,,,,
411,S-90002574,M_15th,S-90002574_M_15th,,,,,,,,,,,,,10.0,,,,,,,,,,,,
412,S-90002578,M_15th,S-90002578_M_15th,,,,,,,6.0,,,,,,6.0,,,,,,,,,,,,
413,S-90002579,M_15th,S-90002579_M_15th,,,,,10.0,,,,,,,,,,,,,,,,,,,,
414,S-90002587,M_15th,S-90002587_M_15th,,,,,,,,,,,,,7.0,,,,,,,,,,,,
415,S-90002588,M_15th,S-90002588_M_15th,,,,,,,,,,,,,1.0,,,,,,,,,,,,
416,S-90002589,M_15th,S-90002589_M_15th,,,,,,,,,,,,,,,,,,32.0,,,,,,,
417,S-90002591,M_15th,S-90002591_M_15th,,,,,,,,,,,,,32.0,,,,,,3.0,,,,,,
418,S-90002592,M_15th,S-90002592_M_15th,,,,,20.0,,,,,,,,20.0,,,,,,,,,,,,
419,S-90002593,M_15th,S-90002593_M_15th,,,,,20.0,20.0,,,,,,,20.0,,,,,,,,,,,,
420,S-90002597,M_15th,S-90002597_M_15th,,,,,16.0,,2.0,,,,,,,,,,2.0,,,,,,,,
421,S-90002598,M_15th,S-90002598_M_15th,,,,,8.0,,7.0,,,,,,,,,,,,,,,,,,
422,S-90002599,M_15th,S-90002599_M_15th,,,,,8.0,,,,,,,,4.0,,,,,,,,,,,,
423,S-90002602,M_15th,S-90002602_M_15th,,,,,,,,,,,,,5.0,,,,,,,,,,,,
424,S-90002610,M_15th,S-90002610_M_15th,,,,,,,,,,,,,,,,,,,30.0,,,,,,
425,S-KDARY48BRN,M_15th,S-KDARY48BRN_M_15th,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,
426,S-KDAST48BRN,M_15th,S-KDAST48BRN_M_15th,,,,,,,,,,,,5.0,,,,,,,,,,,,15.0,
427,S-PB12PLDGTCRML,M_15th,S-PB12PLDGTCRML_M_15th,,,,,,,,,,,,2.0,,,,,,,,,,,,,
428,S-PB12PLDGTRSBY,M_15th,S-PB12PLDGTRSBY_M_15th,,,,,,,,,,,,2.0,,,,,,,,,,,,,
429,S-PB12PLDGTSONX,M_15th,S-PB12PLDGTSONX_M_15th,,,,,,,,,,,,2.0,,,,,,,,,,,,,
430,S-PT12PLDGTCRML,M_15th,S-PT12PLDGTCRML_M_15th,,,,,,,,,,,,2.0,,,,,,,,,,,,,
